Test_ID,Category,Condition,Trial,Metric_Name,Value,Unit,Status
EXP1_BOOT,Boot_Time,MCU_DWT,32,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,33,Host_Boot_Time,47.5071000000753,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,33,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,33,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,34,Host_Boot_Time,45.81580000012764,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,34,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,34,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,35,Host_Boot_Time,45.47969999839552,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,35,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,35,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,36,Host_Boot_Time,45.485099999496015,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,36,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,36,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,37,Host_Boot_Time,45.39699999804725,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,37,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,37,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,38,Host_Boot_Time,45.58290000204579,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,38,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,38,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,39,Host_Boot_Time,46.34730000179843,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,39,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,39,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,40,Host_Boot_Time,46.87779999949271,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,40,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,40,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,41,Host_Boot_Time,46.10320000210777,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,41,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,41,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,42,Host_Boot_Time,46.46199999842793,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,42,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,42,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,43,Host_Boot_Time,45.56869999942137,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,43,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,43,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,44,Host_Boot_Time,46.04299999846262,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,44,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,44,MCU_Init_Time,160.4375,us,PASS
EXP1_BOOT,Boot_Time,115200_Baud,45,Host_Boot_Time,46.406900000874884,ms,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,45,MCU_Init_Cycles,2567,cycles,PASS
EXP1_BOOT,Boot_Time,MCU_DWT,45,MCU_Init_Time,160.4375,us,PASS
